caseId,comment,frame,endFrame,sec,endSec
5309,Incision,0,99,0.0,1.652
5309,Incision,252,431,4.204,7.191
5309,Viscoelastic,857,1195,14.298,19.937
5309,Capsulorhexis,1355,3035,22.606,50.634
5309,Hydrodissection,3166,4087,52.819,68.185
5309,Phacoemulsification,4309,9744,71.889,162.563
5309,Irrigation/Aspiration,10182,12278,169.87,204.838
5309,Capsule Pulishing,12502,12750,208.575,212.713
5309,Capsule Pulishing,12794,13418,213.447,223.857
5309,Viscoelastic,13572,14068,226.426,234.701
5309,Lens Implantation,14210,14817,237.07,247.197
5309,Lens positioning,14943,15638,249.299,260.894
5309,Viscoelastic_Suction,15733,16590,262.479,276.777
5309,Anterior_Chamber Flushing,16699,17725,278.595,295.712
5309,Viscoelastic_Suction,17869,18494,298.115,308.542
5309,Tonifying/Antibiotics,18605,19534,310.394,325.893
5309,Tonifying/Antibiotics,19671,19951,328.178,332.85
