caseId,comment,frame,endFrame,sec,endSec
5335,Incision,0,198,0.0,3.3
5335,Incision,435,701,7.25,11.683
5335,Viscoelastic,1090,1536,18.167,25.6
5335,Capsulorhexis,1819,4650,30.317,77.5
5335,Hydrodissection,4758,5571,79.3,92.85
5335,Phacoemulsification,6181,12075,103.017,201.25
5335,Irrigation/Aspiration,12642,15203,210.7,253.383
5335,Capsule Pulishing,15460,15728,257.667,262.133
5335,Viscoelastic,15894,16223,264.9,270.383
5335,Lens Implantation,16365,17069,272.75,284.483
5335,Lens positioning,17343,17861,289.05,297.683
5335,Viscoelastic_Suction,17970,19076,299.5,317.933
5335,Anterior_Chamber Flushing,19269,20048,321.15,334.133
5335,Viscoelastic_Suction,20175,20619,336.25,343.65
5335,Tonifying/Antibiotics,20718,21380,345.3,356.333
5335,Tonifying/Antibiotics,21513,21746,358.55,362.433
