caseId,comment,frame,endFrame,sec,endSec
4888,Incision,0,168,0.0,2.803
4888,Incision,312,528,5.205,8.809
4888,Viscoelastic,634,842,10.577,14.047
4888,Capsulorhexis,954,2058,15.916,34.334
4888,Hydrodissection,2195,3299,36.62,55.038
4888,Phacoemulsification,3691,7948,61.578,132.599
4888,Irrigation/Aspiration,8304,11443,138.539,190.908
4888,Capsule Pulishing,11552,11727,192.726,195.646
4888,Viscoelastic,11877,12078,198.148,201.502
4888,Lens Implantation,12237,12776,204.154,213.146
4888,Lens positioning,12893,13105,215.098,218.635
4888,Viscoelastic_Suction,13190,13831,220.053,230.747
4888,Anterior_Chamber Flushing,13934,14261,232.466,237.921
4888,Viscoelastic_Suction,14365,14829,239.656,247.397
4888,Tonifying/Antibiotics,14959,15902,249.566,265.299
4888,Viscoelastic_Suction,16016,16268,267.201,271.405
4888,Tonifying/Antibiotics,16388,16742,273.407,279.313
4888,Tonifying/Antibiotics,16849,17106,281.098,285.385
