caseId,comment,frame,endFrame,sec,endSec
5334,Incision,0,225,0.0,3.754
5334,Incision,464,741,7.741,12.362
5334,Viscoelastic,983,1278,16.4,21.321
5334,Capsulorhexis,1411,3551,23.54,59.243
5334,Hydrodissection,3690,4680,61.562,78.078
5334,Phacoemulsification,5113,12247,85.302,204.321
5334,Irrigation/Aspiration,12824,15572,213.947,259.793
5334,Capsule Pulishing,15793,16451,263.48,274.458
5334,Viscoelastic,16578,16929,276.577,282.432
5334,Lens Implantation,17144,17770,286.019,296.463
5334,Lens positioning,18022,18555,300.667,309.56
5334,Viscoelastic_Suction,18703,19876,312.029,331.598
5334,Viscoelastic_Suction,19889,20158,331.815,336.303
5334,Anterior_Chamber Flushing,20318,21258,338.972,354.655
5334,Viscoelastic_Suction,21377,21953,356.64,366.25
5334,Tonifying/Antibiotics,22079,22266,368.352,371.471
5334,Tonifying/Antibiotics,22280,22476,371.705,374.975
5334,Tonifying/Antibiotics,22499,22607,375.359,377.16
5334,Tonifying/Antibiotics,22774,23071,379.947,384.902
