caseId,comment,frame,endFrame,sec,endSec
4874,Incision,1674,1839,27.9,30.65
4874,Incision,1975,2297,32.917,38.283
4874,Viscoelastic,2466,2774,41.1,46.233
4874,Capsulorhexis,2952,4407,49.2,73.45
4874,Hydrodissection,4633,5108,77.217,85.133
4874,Hydrodissection,5139,6287,85.65,104.783
4874,Phacoemulsification,6505,10922,108.417,182.033
4874,Irrigation/Aspiration,11418,13190,190.3,219.833
4874,Capsule Pulishing,13389,13883,223.15,231.383
4874,Viscoelastic,14025,14363,233.75,239.383
4874,Lens Implantation,14466,15014,241.1,250.233
4874,Lens positioning,15123,15746,252.05,262.433
4874,Viscoelastic_Suction,15880,17148,264.667,285.8
4874,Anterior_Chamber Flushing,17304,18017,288.4,300.283
4874,Viscoelastic_Suction,18166,18608,302.767,310.133
4874,Tonifying/Antibiotics,18870,19046,314.5,317.433
